EBlowEtaBad 	 runNumber	 190450 	 190781 	 1.0051 	0.0007 	 0 	 0
EBlowEtaBad 	 runNumber 	 190782 	 190949 	 1.0149 	0.0004 	 0 	 0
EBlowEtaBad 	 runNumber 	 190950 	 193193 	 1.0043 	0.0002 	 0 	 0
EBlowEtaBad 	 runNumber 	 193194 	 193686 	 1.0013 	0.0003 	 0 	 0
EBlowEtaBad 	 runNumber 	 193746 	 194210 	 1.0020 	0.0002 	 0 	 0
EBlowEtaBad 	 runNumber 	 194211 	 194704 	 1.0036 	0.0002 	 0 	 0
EBlowEtaBad 	 runNumber 	 194705 	 195251 	 1.0047 	0.0002 	 0 	 0
EBlowEtaBad 	 runNumber 	 195252 	 195396 	 1.0074 	0.0003 	 0 	 0
EBlowEtaBad 	 runNumber 	 195397 	 196509 	 0.9999 	0.0002 	 0 	 0
EBlowEtaGold 	 runNumber 	 190450 	 190781 	 0.9982 	0.0007 	 0 	 0
EBlowEtaGold 	 runNumber 	 190782 	 190949 	 1.0080 	0.0005 	 0 	 0
EBlowEtaGold 	 runNumber 	 190950 	 193193 	 0.9973 	0.0003 	 0 	 0
EBlowEtaGold 	 runNumber 	 193194 	 193686 	 0.9943 	0.0003 	 0 	 0
EBlowEtaGold 	 runNumber 	 193746 	 194210 	 0.9950 	0.0003 	 0 	 0
EBlowEtaGold 	 runNumber 	 194211 	 194704 	 0.9966 	0.0002 	 0 	 0
EBlowEtaGold 	 runNumber 	 194705 	 195251 	 0.9977 	0.0002 	 0 	 0
EBlowEtaGold 	 runNumber 	 195252 	 195396 	 1.0004 	0.0003 	 0 	 0
EBlowEtaGold 	 runNumber 	 195397 	 196509 	 0.9929 	0.0003 	 0 	 0
EBhighEtaBad 	 runNumber 	 190450 	 190781 	 1.0180 	0.0029 	 0 	 0
EBhighEtaBad 	 runNumber 	 190782 	 190949 	 1.0001 	0.0021 	 0 	 0
EBhighEtaBad 	 runNumber 	 190950 	 193193 	 1.0141 	0.0008 	 0 	 0
EBhighEtaBad 	 runNumber 	 193194 	 193686 	 1.0103 	0.0010 	 0 	 0
EBhighEtaBad 	 runNumber 	 193746 	 194210 	 1.0098 	0.0007 	 0 	 0
EBhighEtaBad 	 runNumber 	 194211 	 194704 	 1.0126 	0.0006 	 0 	 0
EBhighEtaBad 	 runNumber 	 194705 	 195251 	 1.0141 	0.0007 	 0 	 0
EBhighEtaBad 	 runNumber 	 195252 	 195396 	 1.0168 	0.0011 	 0 	 0
EBhighEtaBad 	 runNumber 	 195397 	 196509 	 1.0097 	0.0007 	 0 	 0
EBhighEtaGold 	 runNumber 	 190450 	 190781 	 1.0029 	0.0032 	 0 	 0
EBhighEtaGold 	 runNumber 	 190782 	 190949 	 0.9847 	0.0025 	 0 	 0
EBhighEtaGold 	 runNumber 	 190950 	 193193 	 0.9990 	0.0016 	 0 	 0
EBhighEtaGold 	 runNumber 	 193194 	 193686 	 0.9951 	0.0017 	 0 	 0
EBhighEtaGold 	 runNumber 	 193746 	 194210 	 0.9946 	0.0016 	 0 	 0
EBhighEtaGold 	 runNumber 	 194211 	 194704 	 0.9975 	0.0015 	 0 	 0
EBhighEtaGold 	 runNumber 	 194705 	 195251 	 0.9990 	0.0015 	 0 	 0
EBhighEtaGold 	 runNumber 	 195252 	 195396 	 1.0017 	0.0018 	 0 	 0
EBhighEtaGold 	 runNumber 	 195397 	 196509 	 0.9945 	0.0016 	 0 	 0
EElowEtaBad 	 runNumber 	 190450 	 190781 	 1.0058 	0.0045 	 0 	 0
EElowEtaBad 	 runNumber 	 190782 	 190949 	 1.0114 	0.0025 	 0 	 0
EElowEtaBad 	 runNumber 	 190950 	 193193 	 1.0059 	0.0011 	 0 	 0
EElowEtaBad 	 runNumber 	 193194 	 193686 	 1.0042 	0.0016 	 0 	 0
EElowEtaBad 	 runNumber	 193746 	 194210 	 1.0063 	0.0010 	 0 	 0
EElowEtaBad 	 runNumber 	 194211 	 194704 	 1.0032 	0.0010 	 0 	 0
EElowEtaBad 	 runNumber 	 194705 	 195251 	 1.0058 	0.0010 	 0 	 0
EElowEtaBad 	 runNumber 	 195252 	 195396 	 1.0065 	0.0018 	 0 	 0
EElowEtaBad 	 runNumber 	 195397 	 196509 	 1.0033 	0.0011 	 0 	 0
EElowEtaGold 	 runNumber 	 190450 	 190781 	 0.9996 	0.0047 	 0 	 0
EElowEtaGold 	 runNumber 	 190782 	 190949 	 1.0052 	0.0028 	 0 	 0
EElowEtaGold 	 runNumber 	 190950 	 193193 	 0.9996 	0.0016 	 0 	 0
EElowEtaGold 	 runNumber 	 193194 	 193686 	 0.9979 	0.0019 	 0 	 0
EElowEtaGold 	 runNumber 	 193746 	 194210 	 1.0001 	0.0015 	 0 	 0
EElowEtaGold 	 runNumber 	 194211 	 194704 	 0.9969 	0.0015 	 0 	 0
EElowEtaGold 	 runNumber 	 194705 	 195251 	 0.9995 	0.0015 	 0 	 0
EElowEtaGold 	 runNumber 	 195252 	 195396 	 1.0002 	0.0021 	 0 	 0
EElowEtaGold 	 runNumber 	 195397 	 196509 	 0.9970 	0.0015 	 0 	 0
EEhighEtaBad 	 runNumber 	 190450 	 190781 	 1.0032 	0.0140 	 0 	 0
EEhighEtaBad 	 runNumber 	 190782 	 190949 	 1.0088 	0.0130 	 0 	 0
EEhighEtaBad 	 runNumber 	 190950 	 193193 	 0.9894 	0.0130 	 0 	 0
EEhighEtaBad 	 runNumber 	 193194 	 193686 	 0.9874 	0.0130 	 0 	 0
EEhighEtaBad 	 runNumber 	 193746 	 194210 	 1.0032 	0.0130 	 0 	 0
EEhighEtaBad 	 runNumber 	 194211 	 194704 	 1.0042 	0.0130 	 0 	 0
EEhighEtaBad 	 runNumber 	 194705 	 195251 	 1.0072 	0.0130 	 0 	 0
EEhighEtaBad 	 runNumber 	 195252 	 195396 	 1.0187 	0.0130 	 0 	 0
EEhighEtaBad 	 runNumber 	 195397 	 196509 	 1.0324 	0.0130 	 0 	 0
EEhighEtaGold 	 runNumber 	 190450 	 190781 	 0.9872 	0.0140 	 0 	 0
EEhighEtaGold 	 runNumber 	 190782 	 190949 	 0.9929 	0.0130 	 0 	 0
EEhighEtaGold 	 runNumber 	 190950 	 193193 	 0.9731 	0.0130 	 0 	 0
EEhighEtaGold 	 runNumber 	 193194 	 193686 	 0.9711 	0.0130 	 0 	 0
EEhighEtaGold 	 runNumber 	 193746 	 194210 	 0.9872 	0.0130 	 0 	 0
EEhighEtaGold 	 runNumber 	 194211 	 194704 	 0.9882 	0.0130 	 0 	 0
EEhighEtaGold 	 runNumber 	 194705 	 195251 	 0.9913 	0.0130 	 0 	 0
EEhighEtaGold 	 runNumber 	 195252 	 195396 	 1.0030 	0.0130 	 0 	 0
EEhighEtaGold 	 runNumber 	 195397 	 196509 	 1.0169 	0.0130 	 0 	 0
