EBlowEtaBad     runNumber 	 190645 	 191833 	 0.9997 	0.0002 	 0 	 0
EBlowEtaBad 	runNumber 191834 	 194108 	 0.9974 	0.0002 	 0 	 0
EBlowEtaBad 	runNumber 194109 	 195774 	 0.9983 	0.0001 	 0 	 0
EBlowEtaBad 	runNumber 195775 	 196250 	 0.9979 	0.0002 	 0 	 0
EBlowEtaBad 	runNumber 196251 	 196531 	 0.9973 	0.0002 	 0 	 0
EBlowEtaBad 	runNumber 198111 	 198913 	 1.0009 	0.0002 	 0 	 0
EBlowEtaBad 	runNumber 198914 	 199429 	 1.0009 	0.0002 	 0 	 0
EBlowEtaBad 	runNumber 199430 	 199608 	 1.0018 	0.0002 	 0 	 0
EBlowEtaBad 	runNumber 199609 	 199754 	 1.0007 	0.0003 	 0 	 0
EBlowEtaBad 	runNumber 199755 	 200245 	 1.0022 	0.0002 	 0 	 0
EBlowEtaBad 	runNumber 200246 	 201168 	 1.0022 	0.0002 	 0 	 0
EBlowEtaBad 	runNumber 201169 	 201229 	 0.9967 	0.0003 	 0 	 0
EBlowEtaGold 	runNumber 190645 	 191833 	 0.9940 	0.0002 	 0 	 0
EBlowEtaGold 	runNumber 191834 	 194108 	 0.9917 	0.0002 	 0 	 0
EBlowEtaGold 	runNumber 194109 	 195774 	 0.9926 	0.0002 	 0 	 0
EBlowEtaGold 	runNumber 195775 	 196250 	 0.9921 	0.0002 	 0 	 0
EBlowEtaGold 	runNumber 196251 	 196531 	 0.9915 	0.0002 	 0 	 0
EBlowEtaGold 	runNumber 198111 	 198913 	 0.9952 	0.0002 	 0 	 0
EBlowEtaGold 	runNumber 198914 	 199429 	 0.9952 	0.0002 	 0 	 0
EBlowEtaGold 	runNumber 199430 	 199608 	 0.9961 	0.0002 	 0 	 0
EBlowEtaGold 	runNumber 199698 	 199754 	 0.9950 	0.0003 	 0 	 0
EBlowEtaGold 	runNumber 199755 	 200245 	 0.9965 	0.0002 	 0 	 0
EBlowEtaGold 	runNumber 200246 	 201168 	 0.9965 	0.0002 	 0 	 0
EBlowEtaGold 	runNumber 201169 	 201229 	 0.9909 	0.0003 	 0 	 0
EBhighEtaBad 	runNumber 190645 	 191833 	 1.0008 	0.0008 	 0 	 0
EBhighEtaBad 	runNumber 191834 	 194108 	 0.9963 	0.0007 	 0 	 0
EBhighEtaBad 	runNumber 194109 	 195774 	 0.9983 	0.0004 	 0 	 0
EBhighEtaBad 	runNumber 195775 	 196250 	 0.9978 	0.0006 	 0 	 0
EBhighEtaBad 	runNumber 196251 	 196531 	 0.9969 	0.0007 	 0 	 0
EBhighEtaBad 	runNumber 198111 	 198913 	 1.0005 	0.0008 	 0 	 0
EBhighEtaBad 	runNumber 198914 	 199429 	 1.0008 	0.0006 	 0 	 0
EBhighEtaBad 	runNumber 199430 	 199608 	 1.0005 	0.0008 	 0 	 0
EBhighEtaBad 	runNumber 199698 	 199754 	 0.9999 	0.0010 	 0 	 0
EBhighEtaBad 	runNumber 199755 	 200245 	 1.0018 	0.0006 	 0 	 0
EBhighEtaBad 	runNumber 200246 	 201168 	 1.0008 	0.0006 	 0 	 0
EBhighEtaBad 	runNumber 201169 	 201229 	 0.9929 	0.0011 	 0 	 0
EBhighEtaGold 	runNumber 190645 	 191833 	 0.9860 	0.0016 	 0 	 0
EBhighEtaGold 	runNumber 191834 	 194108 	 0.9815 	0.0015 	 0 	 0
